Source,Target,Regulation
abrB,senS,-1
abrB,liaR,-1
abrB,liaS,-1
abrB,liaF,-1
abrB,liaG,-1
abrB,liaH,-1
abrB,liaI,-1
abrB,racX,-1
abrB,ftsA,-1
abrB,ftsZ,-1
abrB,citB,1
abrB,kinB,-1
abrB,hutU,1
abrB,hutP,1
abrB,hutM,1
abrB,hutI,1
abrB,hutH,1
abrB,hutG,1
abrB,yvlD,-1
abrB,yvlA,-1
abrB,yvlC,-1
abrB,yvlB,-1
abrB,dppA,-1
abrB,dppB,-1
abrB,dppC,-1
abrB,dppD,-1
abrB,dppE,-1
abrB,pbpE,-1
abrB,kapB,-1
gltR,gltA,1
gltR,gltB,1
ccpB,gntK,-1
ccpB,xylB,-1
ccpB,gntZ,-1
ccpB,xylA,-1
ccpB,gntR,-1
ccpB,gntP,-1
ccpA,alsS,1
ccpA,alsD,1
fadR,etfA,-1
fadR,fadR,-1
fadR,etfB,-1
fadR,fadE,-1
fadR,acdA,-1
fadR,fadB,-1
fadR,fadA,-1
fadR,fadG,-1
fadR,fadF,-1
fadR,rpoE,-1
fadR,lcfB,-1
fadR,fadH,-1
fadR,fadN,-1
pucR,pucB,-1
pucR,pucD,-1
pucR,pucA,-1
pucR,pucC,-1
pucR,pucE,-1
treR,treR,-1
treR,treA,-1
treR,treP,-1
tenI,tenI,-1
tenI,thiS,-1
tenI,tenA,-1
tenI,thiO,-1
tenI,thiG,-1
tenI,thiF,-1
tenI,thiD,-1
ytrA,ytrA,-1
ytrA,ytrE,-1
ytrA,ytrC,-1
ytrA,ytrB,-1
ytrA,ytrD,-1
ytrA,ytrF,-1
comA,degQ,1
comA,pel,1
comA,phrC,1
comA,rapC,1
comA,rapA,1
comA,rapF,1
comA,phrA,1
comA,phrF,1
comA,srfAA,1
comA,srfAC,1
comA,srfAB,1
comA,srfAD,1
comA,comS,1
dctR,dctA,1
yvrH,wprA,1
yvrH,yvrH,1
yvrH,bdbA,1
yvrH,bdbB,1
yvrH,lytA,-1
yvrH,sunT,1
yvrH,lytB,-1
yvrH,wapA,1
yvrH,lytC,-1
yvrH,rsiX,1
yvrH,sigX,1
yvrH,wapI,1
yvrH,sigO,1
yvrH,sunA,1
yvrH,sunS,1
deoR,nupC,-1
deoR,pdp,-1
deoR,deoC,-1
hupA,hupA,-1
glnK,glsA1,1
glnK,glnT,1
glnR,ureB,-1
glnR,ureC,-1
glnR,ureA,-1
glnR,nasB,-1
glnR,nasC,-1
glnR,nasA,-1
glnR,nasF,-1
glnR,nasD,-1
glnR,nasE,-1
glnR,glnR,-1
glnR,glnA,-1
xre,xkdC,-1
xre,xkdB,-1
xre,xkdD,-1
xre,xre,-1
xre,xtrA,-1
ccpN,gapB,-1
ccpN,speH,-1
ccpN,pckA,-1
rsfA,katX,1
rsfA,sigG,1
rsfA,sspE,1
rsfA,rsfA,-1
rsfA,spoIIR,-1
rsfA,gpr,1
mtrB,ycbK,-1
mtrB,lysS,-1
mtrB,sul,-1
mtrB,hisC,-1
mtrB,trpB,-1
mtrB,trpC,-1
mtrB,yazB,-1
mtrB,trpA,-1
mtrB,trpF,-1
mtrB,trpD,-1
mtrB,trpE,-1
mtrB,tyrA,-1
mtrB,pabC,-1
mtrB,aroE,-1
mtrB,pabA,-1
mtrB,folB,-1
mtrB,yhaG,-1
mtrB,dus1,-1
mtrB,folK,-1
mta,bltD,1
mta,bmrR,1
mta,mta,1
sigA,pstS,1
sigA,gntZ,1
sigA,pta,1
sigA,treA,1
sigA,yciC,1
sigA,yciB,1
sigA,speH,1
sigA,speE,1
sigA,speB,1
sigA,liaR,1
sigA,liaS,1
sigA,yveA,1
sigA,yazB,1
sigA,disA,1
sigA,thiE,1
sigA,ald,1
sigA,liaH,1
sigA,codY,1
sigA,tasA,1
sigA,yvyF,1
